panel,family,n,arm,ratio,lo,hi,seeds
core,clustered,1000,binary,1.0607712692948796,1.057435920792108,1.0662905963751843,3
core,clustered,1000,caliber,1.0938076171863043,1.0850608723894297,1.0986769341043137,3
core,clustered,1000,degree4,1.0364115649557084,1.0211793640054885,1.0565699963734903,3
core,clustered,1000,fourary,1.0645541363206807,1.0521441059292889,1.0820826189447244,3
core,clustered,1000,heavy_only,1.0548564564117817,1.0390671339312427,1.06745445379323,3
core,clustered,1000,list_both,1.1367162006649307,1.120113150548958,1.1487120628137282,3
core,clustered,1000,max_maxdegree,1.2063801767191267,1.1909147478621496,1.2152599978315732,3
core,clustered,1000,mean_degree,0.8120685397521191,0.8022762817995173,0.8302460913652243,3
core,clustered,1000,mean_map,1.2740609846002922,1.2407908449766343,1.2977348831643027,3
core,clustered,1000,mean_ring,1.3678542382277479,1.3533638934921424,1.3791395080878184,3
core,clustered,1000,mean_sqrtdegree,1.090449253726612,1.074123614411454,1.1057230963463316,3
core,clustered,1000,median,1.274679903461185,1.2539993033766539,1.29143410595939,3
core,clustered,1000,original_mean,1.070942974895952,1.051486689305878,1.0812339012153107,3
core,clustered,1000,sd,1.3980145113377838,1.390541494213985,1.4114261261049592,3
core,clustered,1000,selected_grid,1.3972411889548735,1.3616621547216454,1.4167537158900063,3
core,clustered,1000,skip_only,1.5294464688987786,1.4630311389058244,1.5719163994841479,3
core,clustered,2000,binary,1.0681264209168153,1.0610620343839687,1.072388823045822,3
core,clustered,2000,caliber,1.1087651917585963,1.0866388178585842,1.1341860908078387,3
core,clustered,2000,degree4,1.027997433746364,1.009992406628288,1.0431620289991057,3
core,clustered,2000,fourary,1.0264558273373523,1.0131873788482317,1.0469501365363825,3
core,clustered,2000,heavy_only,1.21581054076575,1.1965988667430278,1.233807023964867,3
core,clustered,2000,list_both,1.4199273718095182,1.3932314790145892,1.4447498713291027,3
core,clustered,2000,max_maxdegree,1.3931603892759108,1.3649669261248487,1.414176380629778,3
core,clustered,2000,mean_degree,1.0162819005428807,0.9802675684096742,1.0443081398385772,3
core,clustered,2000,mean_map,1.556167297642146,1.547420608065997,1.5666215987251424,3
core,clustered,2000,mean_ring,1.6259371859720655,1.6017171701319595,1.6501903622062268,3
core,clustered,2000,mean_sqrtdegree,1.3202476820000617,1.3180241185118153,1.3222537167238324,3
core,clustered,2000,median,1.498241042446411,1.467503588330701,1.51549049084222,3
core,clustered,2000,original_mean,1.3584706773206712,1.341188765893901,1.382782129174826,3
core,clustered,2000,sd,1.61252519527755,1.5944673206712474,1.6246130657007645,3
core,clustered,2000,selected_grid,1.6155977688985768,1.5577349929139375,1.66561216354476,3
core,clustered,2000,skip_only,1.975621891515573,1.9610509586995044,1.9997748978092964,3
core,clustered,5000,binary,1.0723386476218322,1.0717699966485403,1.0734480946803775,3
core,clustered,5000,caliber,1.0872063457660672,1.0646891082947896,1.0994197524568594,3
core,clustered,5000,degree4,1.0190623288686964,1.003790638687649,1.028369890474312,3
core,clustered,5000,fourary,1.0181903775615402,1.0092088371664287,1.028238808576145,3
core,clustered,5000,heavy_only,1.4209262989078848,1.4149054337208067,1.430293065426368,3
core,clustered,5000,list_both,1.5874255549997085,1.5390551784210926,1.6192202251129066,3
core,clustered,5000,max_maxdegree,1.6349705755583581,1.6013024715508555,1.6662626850275994,3
core,clustered,5000,mean_degree,1.3879856247829336,1.3794456129488921,1.3958896151514624,3
core,clustered,5000,mean_map,1.8411270466527805,1.809471632414962,1.875673100299204,3
core,clustered,5000,mean_ring,1.9431130814602056,1.926543809127776,1.9656842507915007,3
core,clustered,5000,mean_sqrtdegree,1.6924512733299792,1.6597185240339078,1.7350705848307555,3
core,clustered,5000,median,1.7808848754571371,1.7590410775769807,1.81826920674558,3
