case,source,arm,pushes,pops,comparisons,peak,scans,scouts,scout_scans,scout_yield,improvements,superseded,phases,vertex_scans,unchanged,heavy,max_phase_scans,admitted,potential_work,budget
37,1333,mean_degree,3260,3260,0,0,18948,0,0,0,3259,905,23,2248,107,6165,809,0,0,0
37,1333,max_maxdegree,3469,3469,0,0,20711,0,0,0,3468,673,16,2655,141,5891,1606,0,0,0
37,1333,caliber,2095,2095,40126,1763,8893,0,0,0,3506,1519,0,1988,0,0,0,0,0,0
37,1333,degree4,3521,3521,76855,1871,8893,380,964,511,3520,1533,0,1988,0,0,0,1348,3434,18446744073709551615
37,1333,selected_grid,4518,4518,0,0,24466,0,0,0,4517,608,8,3498,412,4851,2669,0,0,0
38,667,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,667,binary,2721,2721,49867,1225,8893,0,0,0,2720,733,0,1988,0,0,0,0,0,0
38,667,fourary,2721,2721,52251,1225,8893,0,0,0,2720,733,0,1988,0,0,0,0,0,0
38,667,mean_map,2581,2581,0,0,18060,0,0,0,2580,220,9,2053,308,4495,1017,0,0,0
38,667,mean_ring,2581,2581,0,0,18060,0,0,0,2580,220,9,2053,308,4495,1017,0,0,0
38,667,mean_degree,2688,2688,0,0,17805,0,0,0,2687,621,32,1993,74,7948,306,0,0,0
38,667,max_maxdegree,2693,2693,0,0,17804,0,0,0,2692,609,31,1993,91,7875,296,0,0,0
38,667,caliber,2146,2146,38942,1309,8893,0,0,0,2819,832,0,1988,0,0,0,0,0,0
38,667,degree4,2849,2849,53329,1394,8893,316,806,347,2848,861,0,1988,0,0,0,1348,3434,18446744073709551615
38,667,radix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,667,selected_grid,3051,3051,0,0,18513,0,0,0,3050,274,5,2155,622,0,1352,0,0,0
38,1333,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1333,binary,2743,2743,50348,1237,8893,0,0,0,2742,755,0,1988,0,0,0,0,0,0
38,1333,fourary,2743,2743,52642,1237,8893,0,0,0,2742,755,0,1988,0,0,0,0,0,0
38,1333,mean_map,2556,2556,0,0,18029,0,0,0,2555,220,8,2047,289,4495,1023,0,0,0
38,1333,mean_ring,2556,2556,0,0,18029,0,0,0,2555,220,8,2047,289,4495,1023,0,0,0
38,1333,mean_degree,2700,2700,0,0,17811,0,0,0,2699,617,32,1994,89,7948,250,0,0,0
38,1333,max_maxdegree,2691,2691,0,0,17802,0,0,0,2690,597,30,1991,103,7875,280,0,0,0
38,1333,caliber,2147,2147,38865,1304,8893,0,0,0,2837,850,0,1988,0,0,0,0,0,0
38,1333,degree4,2885,2885,54046,1435,8893,326,819,384,2884,897,0,1988,0,0,0,1348,3434,18446744073709551615
38,1333,radix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1333,selected_grid,3083,3083,0,0,18725,0,0,0,3082,291,4,2194,598,0,1486,0,0,0
39,667,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,667,binary,2761,2761,50749,1256,8893,0,0,0,2760,773,0,1988,0,0,0,0,0,0
39,667,fourary,2761,2761,53152,1256,8893,0,0,0,2760,773,0,1988,0,0,0,0,0,0
39,667,mean_map,2612,2612,0,0,18152,0,0,0,2611,243,8,2068,301,4464,907,0,0,0
39,667,mean_ring,2612,2612,0,0,18152,0,0,0,2611,243,8,2068,301,4464,907,0,0,0
39,667,mean_degree,2738,2738,0,0,17799,0,0,0,2737,632,31,1992,114,7940,246,0,0,0
39,667,max_maxdegree,2723,2723,0,0,17802,0,0,0,2722,612,29,1993,118,7832,260,0,0,0
39,667,caliber,2204,2204,40075,1327,8893,0,0,0,2860,873,0,1988,0,0,0,0,0,0
39,667,degree4,2891,2891,54010,1424,8893,293,726,325,2890,903,0,1988,0,0,0,1348,3434,18446744073709551615
39,667,selected_grid,3327,3327,0,0,18724,0,0,0,3326,496,2,2209,622,0,1242,0,0,0
39,1333,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1333,binary,2729,2729,49975,1252,8893,0,0,0,2728,741,0,1988,0,0,0,0,0,0
39,1333,fourary,2729,2729,52296,1252,8893,0,0,0,2728,741,0,1988,0,0,0,0,0,0
39,1333,mean_map,2595,2595,0,0,18094,0,0,0,2594,237,8,2055,303,4464,1052,0,0,0
39,1333,mean_ring,2595,2595,0,0,18094,0,0,0,2594,237,8,2055,303,4464,1052,0,0,0
39,1333,mean_degree,2695,2695,0,0,17801,0,0,0,2694,595,30,1993,107,7940,256,0,0,0
39,1333,max_maxdegree,2697,2697,0,0,17801,0,0,0,2696,577,28,1993,127,7832,273,0,0,0
39,1333,caliber,2175,2175,39514,1330,8893,0,0,0,2858,871,0,1988,0,0,0,0,0,0
39,1333,degree4,2902,2902,54643,1468,8893,302,771,373,2901,914,0,1988,0,0,0,1348,3434,18446744073709551615
39,1333,selected_grid,3750,3750,0,0,19746,0,0,0,3749,769,2,2426,555,0,1873,0,0,0
40,667,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,667,binary,2723,2723,50019,1254,8893,0,0,0,2722,735,0,1988,0,0,0,0,0,0
40,667,fourary,2723,2723,52163,1254,8893,0,0,0,2722,735,0,1988,0,0,0,0,0,0
40,667,mean_map,2570,2570,0,0,18020,0,0,0,2569,236,8,2044,290,4461,1032,0,0,0
40,667,mean_ring,2570,2570,0,0,18020,0,0,0,2569,236,8,2044,290,4461,1032,0,0,0
40,667,mean_degree,2687,2687,0,0,17810,0,0,0,2686,589,30,1992,106,7941,254,0,0,0
40,667,max_maxdegree,2685,2685,0,0,17814,0,0,0,2684,580,28,1993,112,7835,280,0,0,0
40,667,caliber,2148,2148,38842,1306,8893,0,0,0,2832,845,0,1988,0,0,0,0,0,0
40,667,degree4,2839,2839,53208,1393,8893,315,781,388,2838,851,0,1988,0,0,0,1348,3434,18446744073709551615
40,667,selected_grid,3080,3080,0,0,18558,0,0,0,3079,242,2,2163,675,0,1440,0,0,0
40,1333,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1333,binary,2758,2758,50632,1242,8893,0,0,0,2757,770,0,1988,0,0,0,0,0,0
40,1333,fourary,2758,2758,52767,1242,8893,0,0,0,2757,770,0,1988,0,0,0,0,0,0
40,1333,mean_map,2592,2592,0,0,18138,0,0,0,2591,237,7,2068,287,4461,961,0,0,0
40,1333,mean_ring,2592,2592,0,0,18138,0,0,0,2591,237,7,2068,287,4461,961,0,0,0
40,1333,mean_degree,2743,2743,0,0,17808,0,0,0,2742,636,30,1993,114,7941,251,0,0,0
40,1333,max_maxdegree,2744,2744,0,0,17794,0,0,0,2743,630,28,1991,123,7835,280,0,0,0
40,1333,caliber,2175,2175,39566,1313,8893,0,0,0,2851,864,0,1988,0,0,0,0,0,0
40,1333,degree4,2937,2937,55200,1430,8893,343,847,369,2936,949,0,1988,0,0,0,1348,3434,18446744073709551615
40,1333,selected_grid,3513,3513,0,0,19170,0,0,0,3512,563,2,2300,650,0,1503,0,0,0
41,667,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,667,binary,5275,5275,100576,1523,52301,0,0,0,5274,3275,0,2000,0,0,0,0,0,0
41,667,fourary,5275,5275,105295,1523,52301,0,0,0,5274,3275,0,2000,0,0,0,0,0,0
41,667,mean_map,5186,5186,0,0,109515,0,0,0,5185,1214,16,2189,1783,5327,718,0,0,0
41,667,mean_ring,5186,5186,0,0,109515,0,0,0,5185,1214,16,2189,1783,5327,718,0,0,0
41,667,mean_degree,5276,5276,0,0,104602,0,0,0,5275,3137,332,2000,139,52301,48,0,0,0
41,667,max_maxdegree,4593,4593,0,0,104818,0,0,0,4592,1997,54,2008,588,43462,269,0,0,0
41,667,caliber,4994,4994,95696,1587,52301,0,0,0,5444,3445,0,2000,0,0,0,0,0,0
41,667,degree4,5275,5275,100576,1523,52301,0,0,0,5274,3275,0,2000,0,0,0,0,0,18446744073709551615
41,667,selected_grid,5204,5204,0,0,111383,0,0,0,5203,784,9,2261,2159,3120,1276,0,0,0
41,1333,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1333,binary,5298,5298,100344,1447,52301,0,0,0,5297,3298,0,2000,0,0,0,0,0,0
41,1333,fourary,5298,5298,105255,1447,52301,0,0,0,5297,3298,0,2000,0,0,0,0,0,0
41,1333,mean_map,5218,5218,0,0,109514,0,0,0,5217,1174,16,2187,1857,5327,690,0,0,0
41,1333,mean_ring,5218,5218,0,0,109514,0,0,0,5217,1174,16,2187,1857,5327,690,0,0,0
41,1333,mean_degree,5318,5318,0,0,104602,0,0,0,5317,3183,335,2000,135,52301,53,0,0,0
41,1333,max_maxdegree,4485,4485,0,0,104978,0,0,0,4484,1834,52,2014,637,43462,238,0,0,0
41,1333,caliber,4966,4966,94622,1521,52301,0,0,0,5404,3405,0,2000,0,0,0,0,0,0
41,1333,degree4,5298,5298,100344,1447,52301,0,0,0,5297,3298,0,2000,0,0,0,0,0,18446744073709551615
41,1333,selected_grid,5278,5278,0,0,112021,0,0,0,5277,771,9,2280,2227,3120,1399,0,0,0
42,667,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,667,binary,2544,2544,46518,1797,52301,0,0,0,2543,544,0,2000,0,0,0,0,0,0
42,667,fourary,2544,2544,49157,1797,52301,0,0,0,2543,544,0,2000,0,0,0,0,0,0
42,667,mean_map,2658,2658,0,0,104602,0,0,0,2657,46,5,2000,612,26118,1272,0,0,0
