case,training_source,multiplier,median_ns,total_calibration_ns,selected
15,0,0.1,535650,38323400,false
15,0,0.25,514050,38323400,false
15,0,0.5,484400,38323400,true
15,0,0.75,492350,38323400,false
15,0,1,484450,38323400,false
15,0,1.5,516500,38323400,false
15,0,2,528150,38323400,false
15,0,4,534350,38323400,false
15,0,8,520500,38323400,false
15,0,16,508450,38323400,false
16,0,0.03125,783500,44278700,false
16,0,0.05,727300,44278700,false
16,0,0.1,635250,44278700,false
16,0,0.25,584550,44278700,false
16,0,0.5,605050,44278700,false
16,0,0.75,564150,44278700,false
16,0,1,529400,44278700,false
16,0,1.5,510500,44278700,false
16,0,2,492600,44278700,false
16,0,4,492200,44278700,true
16,0,8,573950,44278700,false
16,0,16,539850,44278700,false
17,0,0.03125,362550,19635100,false
17,0,0.05,308600,19635100,false
17,0,0.1,282200,19635100,false
17,0,0.25,253050,19635100,false
17,0,0.5,232000,19635100,false
17,0,0.75,227500,19635100,false
17,0,1,240850,19635100,false
17,0,1.5,217450,19635100,false
17,0,2,193800,19635100,true
17,0,4,194500,19635100,false
17,0,8,257400,19635100,false
17,0,16,255850,19635100,false
18,0,0.03125,143800,11171300,false
18,0,0.05,148650,11171300,false
18,0,0.1,149350,11171300,false
18,0,0.25,153800,11171300,false
18,0,0.5,146800,11171300,false
18,0,0.75,160950,11171300,false
18,0,1,197500,11171300,false
18,0,1.5,138150,11171300,false
18,0,2,144650,11171300,false
18,0,4,137900,11171300,false
18,0,8,137550,11171300,false
18,0,16,133550,11171300,true
19,0,0.03125,310150,18536700,false
19,0,0.05,290350,18536700,false
19,0,0.1,288450,18536700,false
19,0,0.25,231550,18536700,false
19,0,0.5,220950,18536700,false
19,0,0.75,212700,18536700,false
19,0,1,209400,18536700,false
19,0,1.5,223050,18536700,false
19,0,2,203600,18536700,false
19,0,4,195250,18536700,true
19,0,8,241650,18536700,false
19,0,16,297500,18536700,false
20,0,0.03125,161300,10502000,false
20,0,0.05,142050,10502000,false
20,0,0.1,145700,10502000,false
20,0,0.25,139300,10502000,false
20,0,0.5,121500,10502000,false
20,0,0.75,119200,10502000,false
20,0,1,125000,10502000,false
20,0,1.5,113750,10502000,true
20,0,2,127150,10502000,false
20,0,4,138900,10502000,false
20,0,8,139300,10502000,false
20,0,16,178850,10502000,false
21,0,0.03125,383200,28900200,false
21,0,0.05,388700,28900200,false
21,0,0.1,323400,28900200,true
21,0,0.25,349300,28900200,false
21,0,0.5,352250,28900200,false
21,0,0.75,380500,28900200,false
21,0,1,324150,28900200,false
21,0,1.5,393300,28900200,false
21,0,2,330550,28900200,false
21,0,4,359200,28900200,false
21,0,8,516400,28900200,false
21,0,16,515000,28900200,false
22,0,0.03125,346500,19815900,false
22,0,0.05,343000,19815900,false
22,0,0.1,290350,19815900,false
22,0,0.25,253500,19815900,false
22,0,0.5,234850,19815900,false
22,0,0.75,231400,19815900,false
22,0,1,213200,19815900,false
22,0,1.5,204550,19815900,false
22,0,2,196450,19815900,true
22,0,4,227400,19815900,false
22,0,8,244950,19815900,false
22,0,16,238050,19815900,false
23,0,0.03125,334500,20439900,false
23,0,0.05,300850,20439900,false
23,0,0.1,279700,20439900,false
23,0,0.25,247400,20439900,false
23,0,0.5,229850,20439900,false
23,0,0.75,240650,20439900,false
23,0,1,209900,20439900,false
23,0,1.5,219650,20439900,false
23,0,2,181650,20439900,true
23,0,4,192650,20439900,false
23,0,8,250950,20439900,false
23,0,16,235600,20439900,false
24,0,0.03125,353850,18898600,false
24,0,0.05,328200,18898600,false
24,0,0.1,301850,18898600,false
24,0,0.25,266750,18898600,false
24,0,0.5,243900,18898600,false
24,0,0.75,233200,18898600,false
24,0,1,225500,18898600,false
24,0,1.5,224600,18898600,false
24,0,2,203750,18898600,true
24,0,4,205850,18898600,false
24,0,8,264500,18898600,false
24,0,16,266100,18898600,false
25,0,0.03125,729850,39302500,false
25,0,0.05,661000,39302500,false
25,0,0.1,597050,39302500,false
25,0,0.25,541450,39302500,false
25,0,0.5,497350,39302500,false
25,0,0.75,483450,39302500,false
25,0,1,470650,39302500,false
25,0,1.5,454050,39302500,true
25,0,2,472400,39302500,false
25,0,4,469200,39302500,false
25,0,8,510050,39302500,false
25,0,16,491450,39302500,false
26,0,0.03125,341050,25193600,false
26,0,0.05,347750,25193600,false
26,0,0.1,338650,25193600,false
26,0,0.25,343050,25193600,false
26,0,0.5,340500,25193600,false
26,0,0.75,339650,25193600,false
26,0,1,379400,25193600,false
26,0,1.5,331800,25193600,false
26,0,2,337300,25193600,false
26,0,4,330900,25193600,false
26,0,8,328450,25193600,true
26,0,16,342700,25193600,false
27,0,0.03125,505050,32935900,false
27,0,0.05,478600,32935900,false
27,0,0.1,455500,32935900,false
27,0,0.25,415500,32935900,false
27,0,0.5,398200,32935900,true
27,0,0.75,408750,32935900,false
27,0,1,412200,32935900,false
27,0,1.5,424000,32935900,false
27,0,2,449600,32935900,false
27,0,4,440950,32935900,false
27,0,8,508050,32935900,false
27,0,16,426800,32935900,false
28,0,0.03125,336600,24951900,false
28,0,0.05,340000,24951900,false
28,0,0.1,340050,24951900,false
28,0,0.25,352250,24951900,false
28,0,0.5,336600,24951900,false
28,0,0.75,345900,24951900,false
28,0,1,331550,24951900,false
28,0,1.5,330850,24951900,true
28,0,2,332750,24951900,false
28,0,4,345500,24951900,false
28,0,8,341850,24951900,false
28,0,16,343000,24951900,false
29,0,0.03125,373050,36241600,true
29,0,0.05,374100,36241600,false
29,0,0.1,380400,36241600,false
29,0,0.25,424100,36241600,false
29,0,0.5,459550,36241600,false
29,0,0.75,487400,36241600,false
29,0,1,512450,36241600,false
29,0,1.5,532950,36241600,false
29,0,2,560850,36241600,false
