case,source,arm,pushes,pops,comparisons,peak,scans,scouts,scout_scans,scout_yield,improvements,superseded,phases,vertex_scans,unchanged,heavy,max_phase_scans,admitted,potential_work,budget
3,186714,selected_grid,515807,515807,0,0,2223436,0,0,0,515806,8163,454,475531,32113,61562,6253,0,0,0
3,248952,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,248952,binary,467068,467068,7280264,754,1057066,0,0,0,467067,31402,0,435666,0,0,0,0,0,0
3,248952,fourary,467068,467068,7960657,754,1057066,0,0,0,467067,31402,0,435666,0,0,0,0,0,0
3,248952,mean_map,474931,474931,0,0,2132996,0,0,0,474930,9351,2316,442115,23465,277216,1247,0,0,0
3,248952,mean_ring,474931,474931,0,0,2132996,0,0,0,474930,9351,2316,442115,23465,277216,1247,0,0,0
3,248952,mean_degree,465554,465554,0,0,2118922,0,0,0,465553,11372,5603,437248,16934,529048,531,0,0,0
3,248952,max_maxdegree,529820,529820,0,0,2254992,0,0,0,529819,8458,474,487171,34191,27614,6919,0,0,0
3,248952,caliber,295339,295339,4545281,717,1057066,0,0,0,469790,34125,0,435666,0,0,0,0,0,0
3,248952,degree4,489849,489849,8330111,1224,1057066,226673,555477,257537,489848,54183,0,435666,0,0,0,1035836,2856140,18446744073709551615
3,248952,radix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,248952,selected_grid,517755,517755,0,0,2227702,0,0,0,517754,8342,581,476868,32545,61562,5228,0,0,0
3,311190,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,311190,binary,467213,467213,7428964,845,1057066,0,0,0,467212,31547,0,435666,0,0,0,0,0,0
3,311190,fourary,467213,467213,8145093,845,1057066,0,0,0,467212,31547,0,435666,0,0,0,0,0,0
3,311190,mean_map,475535,475535,0,0,2133687,0,0,0,475534,9421,2460,442388,23726,277216,1564,0,0,0
3,311190,mean_ring,475535,475535,0,0,2133687,0,0,0,475534,9421,2460,442388,23726,277216,1564,0,0,0
3,311190,mean_degree,465666,465666,0,0,2119168,0,0,0,465665,11461,5901,437319,16886,529048,660,0,0,0
3,311190,max_maxdegree,531310,531310,0,0,2257972,0,0,0,531309,8624,506,488338,34348,27614,8566,0,0,0
3,311190,caliber,295042,295042,4636066,819,1057066,0,0,0,469912,34247,0,435666,0,0,0,0,0,0
3,311190,degree4,489433,489433,8494034,1394,1057066,226598,554991,257180,489432,53767,0,435666,0,0,0,1035836,2856140,18446744073709551615
3,311190,radix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,311190,selected_grid,516946,516946,0,0,2225511,0,0,0,516945,8390,621,476233,32323,61562,6620,0,0,0
3,373428,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,373428,binary,467127,467127,7495328,844,1057066,0,0,0,467126,31461,0,435666,0,0,0,0,0,0
3,373428,fourary,467127,467127,8228962,844,1057066,0,0,0,467126,31461,0,435666,0,0,0,0,0,0
3,373428,mean_map,475149,475149,0,0,2133179,0,0,0,475148,9481,2184,442201,23467,277216,1620,0,0,0
3,373428,mean_ring,475149,475149,0,0,2133179,0,0,0,475148,9481,2184,442201,23467,277216,1620,0,0,0
3,373428,mean_degree,465560,465560,0,0,2118863,0,0,0,465559,11510,5220,437226,16824,529048,660,0,0,0
3,373428,max_maxdegree,531662,531662,0,0,2258540,0,0,0,531661,8637,450,488565,34460,27614,8825,0,0,0
3,373428,caliber,294982,294982,4677695,812,1057066,0,0,0,469848,34183,0,435666,0,0,0,0,0,0
3,373428,degree4,489453,489453,8565089,1376,1057066,226635,555064,257157,489452,53787,0,435666,0,0,0,1035836,2856140,18446744073709551615
3,373428,radix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,373428,selected_grid,517171,517171,0,0,2226106,0,0,0,517170,8384,552,476512,32275,61562,6851,0,0,0
