case,stage,family,n,m,seed,mean,median,max,sd,degree,max_degree,generation_ns,feature_ns,fingerprint
1,scale,sparse_fast,10000,45135,42,50.619484390287120,50.764454170382741,99.998694513285912,28.597496160007797,4.513500000,8,5759700,2388100,e8b02d6bef522640
2,scale,sparse_fast,100000,450557,42,50.578290704370062,50.616658684201809,99.999928516371028,28.556712402491172,4.505570000,8,44808600,27546400,1e6ffba2ac66e48c
3,scale,sparse_fast,1000000,4501626,42,50.492177965588070,50.486831733090334,99.999996556372054,28.582872680117134,4.501626000,8,345877800,294752700,f3f1f00202f56af4
4,scale,sparse_fast,10000,44550,1729,50.541538214592450,50.411104038011530,99.996645216567487,28.610606857067495,4.455000000,8,4656800,2555800,c66487a43742bc59
5,scale,sparse_fast,100000,448748,1729,50.468949840336919,50.485025884687460,99.999613165639872,28.584825912826144,4.487480000,8,42729800,27773000,abbf85563a057a3e
6,scale,sparse_fast,1000000,4498706,1729,50.478208152797983,50.472155880263415,99.999997799071238,28.590122502910642,4.498706000,8,381097600,332439300,24c0f572d9e65719
7,scale,sparse_fast,10000,44758,2026,50.471113876608051,50.285368433908118,99.997424266194201,28.601089043078503,4.475800000,8,4393000,2247600,5a4125584bbace9c
8,scale,sparse_fast,100000,449260,2026,50.449501697382132,50.425277479983272,99.999730348444245,28.583134723432423,4.492600000,8,40264900,26652800,87e7118e4c7952a9
9,scale,sparse_fast,1000000,4498579,2026,50.497604251524329,50.489650665222754,99.999985540238725,28.587356998495284,4.498579000,8,312191300,263993300,8905b29a96654c8b
