case,source,arm,pushes,pops,comparisons,peak,scans,scouts,scout_scans,scout_yield,improvements,superseded,phases,vertex_scans,unchanged,heavy,max_phase_scans,admitted,potential_work,budget
6,666666,binary,1363962,1363962,49456331,619730,4445458,0,0,0,1363961,375801,0,988161,0,0,0,0,0,0
6,666666,fourary,1363962,1363962,50941722,619730,4445458,0,0,0,1363961,375801,0,988161,0,0,0,0,0,0
6,666666,mean_map,1293630,1293630,0,0,9038970,0,0,0,1293629,122059,14,1021088,150483,2222595,521807,0,0,0
6,666666,mean_ring,1293630,1293630,0,0,9038970,0,0,0,1293629,122059,14,1021088,150483,2222595,521807,0,0,0
6,666666,mean_degree,1351411,1351411,0,0,8900585,0,0,0,1351410,311149,56,990303,49959,3985233,120852,0,0,0
6,666666,max_maxdegree,1348468,1348468,0,0,8903168,0,0,0,1348467,302534,50,990869,55065,3927465,134270,0,0,0
6,666666,caliber,1078385,1078385,38878595,651789,4445458,0,0,0,1416759,428599,0,988161,0,0,0,0,0,0
6,666666,degree4,1425115,1425115,52193367,693151,4445458,145955,365283,165596,1425114,436954,0,988161,0,0,0,625713,1563630,18446744073709551615
7,3333,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3333,binary,13714,13714,315308,6177,44205,0,0,0,13713,3830,0,9884,0,0,0,0,0,0
7,3333,fourary,13714,13714,326940,6177,44205,0,0,0,13713,3830,0,9884,0,0,0,0,0,0
7,3333,mean_map,12835,12835,0,0,89600,0,0,0,12834,1210,11,10152,1473,22028,5171,0,0,0
7,3333,mean_ring,12835,12835,0,0,89600,0,0,0,12834,1210,11,10152,1473,22028,5171,0,0,0
7,3333,mean_degree,13563,13563,0,0,88530,0,0,0,13562,3131,38,9906,526,39622,1235,0,0,0
7,3333,max_maxdegree,13537,13537,0,0,88526,0,0,0,13536,3049,35,9905,583,39070,1363,0,0,0
7,3333,caliber,10733,10733,244342,6430,44205,0,0,0,14171,4288,0,9884,0,0,0,0,0,0
7,3333,degree4,14349,14349,334365,6906,44205,1499,3783,1604,14348,4465,0,9884,0,0,0,6292,15819,18446744073709551615
7,6666,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6666,binary,13641,13641,313663,6211,44205,0,0,0,13640,3757,0,9884,0,0,0,0,0,0
7,6666,fourary,13641,13641,324707,6211,44205,0,0,0,13640,3757,0,9884,0,0,0,0,0,0
7,6666,mean_map,12920,12920,0,0,89862,0,0,0,12919,1161,10,10205,1554,22028,5146,0,0,0
7,6666,mean_ring,12920,12920,0,0,89862,0,0,0,12919,1161,10,10205,1554,22028,5146,0,0,0
7,6666,mean_degree,13535,13535,0,0,88530,0,0,0,13534,3112,37,9912,511,39622,1221,0,0,0
7,6666,max_maxdegree,13515,13515,0,0,88540,0,0,0,13514,3034,34,9911,570,39070,1384,0,0,0
7,6666,caliber,10744,10744,244697,6535,44205,0,0,0,14184,4301,0,9884,0,0,0,0,0,0
7,6666,degree4,14279,14279,333048,6958,44205,1438,3603,1640,14278,4395,0,9884,0,0,0,6292,15819,18446744073709551615
8,33333,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,33333,binary,136402,136402,4033225,62012,443607,0,0,0,136401,37605,0,98797,0,0,0,0,0,0
8,33333,fourary,136402,136402,4179496,62012,443607,0,0,0,136401,37605,0,98797,0,0,0,0,0,0
8,33333,mean_map,129484,129484,0,0,901757,0,0,0,129483,12365,12,102035,15084,221659,51067,0,0,0
8,33333,mean_ring,129484,129484,0,0,901757,0,0,0,129483,12365,12,102035,15084,221659,51067,0,0,0
8,33333,mean_degree,135150,135150,0,0,888064,0,0,0,135149,31082,47,98985,5083,397602,12041,0,0,0
8,33333,max_maxdegree,134876,134876,0,0,888374,0,0,0,134875,30284,42,99055,5537,391923,13447,0,0,0
8,33333,caliber,107832,107832,3165936,65380,443607,0,0,0,141879,43083,0,98797,0,0,0,0,0,0
8,33333,degree4,142412,142412,4258815,69286,443607,14434,36272,16519,142411,43615,0,98797,0,0,0,62748,157135,18446744073709551615
8,66666,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,66666,binary,136322,136322,4031336,62145,443607,0,0,0,136321,37525,0,98797,0,0,0,0,0,0
8,66666,fourary,136322,136322,4177850,62145,443607,0,0,0,136321,37525,0,98797,0,0,0,0,0,0
8,66666,mean_map,129160,129160,0,0,901075,0,0,0,129159,12075,12,101897,15188,221659,50706,0,0,0
8,66666,mean_ring,129160,129160,0,0,901075,0,0,0,129159,12075,12,101897,15188,221659,50706,0,0,0
8,66666,mean_degree,134939,134939,0,0,888097,0,0,0,134938,30963,49,98993,4983,397602,12024,0,0,0
8,66666,max_maxdegree,134693,134693,0,0,888256,0,0,0,134692,30064,45,99031,5598,391923,13394,0,0,0
8,66666,caliber,107960,107960,3170003,65540,443607,0,0,0,141699,42903,0,98797,0,0,0,0,0,0
8,66666,degree4,142502,142502,4264810,69675,443607,14548,36418,16664,142501,43705,0,98797,0,0,0,62748,157135,18446744073709551615
9,333333,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,333333,binary,1364421,1364421,49482027,620573,4445083,0,0,0,1364420,376386,0,988035,0,0,0,0,0,0
9,333333,fourary,1364421,1364421,50961560,620573,4445083,0,0,0,1364420,376386,0,988035,0,0,0,0,0,0
9,333333,mean_map,1294476,1294476,0,0,9036514,0,0,0,1294475,121524,15,1020506,152446,2221976,508358,0,0,0
9,333333,mean_ring,1294476,1294476,0,0,9036514,0,0,0,1294475,121524,15,1020506,152446,2221976,508358,0,0,0
9,333333,mean_degree,1351548,1351548,0,0,8900028,0,0,0,1351547,310804,58,990229,50515,3985893,121294,0,0,0
9,333333,max_maxdegree,1348436,1348436,0,0,8902273,0,0,0,1348435,302103,54,990745,55588,3928293,134738,0,0,0
9,333333,caliber,1078898,1078898,38905320,653111,4445083,0,0,0,1416979,428945,0,988035,0,0,0,0,0,0
9,333333,degree4,1425877,1425877,52226732,693947,4445083,146016,363943,164990,1425876,437842,0,988035,0,0,0,625496,1561869,18446744073709551615
9,666666,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,666666,binary,1363268,1363268,49431262,619859,4445083,0,0,0,1363267,375233,0,988035,0,0,0,0,0,0
9,666666,fourary,1363268,1363268,50912945,619859,4445083,0,0,0,1363267,375233,0,988035,0,0,0,0,0,0
9,666666,mean_map,1290884,1290884,0,0,9032536,0,0,0,1290883,120464,13,1019640,150780,2221976,463116,0,0,0
9,666666,mean_ring,1290884,1290884,0,0,9032536,0,0,0,1290883,120464,13,1019640,150780,2221976,463116,0,0,0
9,666666,mean_degree,1350315,1350315,0,0,8899948,0,0,0,1350314,309583,55,990224,50508,3985893,121031,0,0,0
9,666666,max_maxdegree,1347366,1347366,0,0,8901941,0,0,0,1347365,301318,50,990653,55395,3928293,134615,0,0,0
9,666666,caliber,1079286,1079286,38923020,653836,4445083,0,0,0,1416991,428957,0,988035,0,0,0,0,0,0
9,666666,degree4,1424150,1424150,52159373,693021,4445083,145671,363380,164527,1424149,436115,0,988035,0,0,0,625496,1561869,18446744073709551615
