case,stage,family,n,m,seed,source,arm,round,position,ns,width,prep_ns
1,scale,sparse_fast,10000,45135,42,6666,degree4,1,0,3106900,0,652100
1,scale,sparse_fast,10000,45135,42,6666,caliber,1,1,2626300,0,194000
1,scale,sparse_fast,10000,45135,42,6666,mean_degree,1,2,1669800,11.215128922186135,136000
1,scale,sparse_fast,10000,45135,42,6666,mean_ring,1,3,1768200,50.61948439028712,136000
1,scale,sparse_fast,10000,45135,42,6666,binary,1,4,3013200,0,0
1,scale,sparse_fast,10000,45135,42,6666,max_maxdegree,1,5,1691300,12.499836814160739,217800
1,scale,sparse_fast,10000,45135,42,6666,std_binary,1,6,2866700,0,0
1,scale,sparse_fast,10000,45135,42,6666,fourary,1,7,2934000,0,0
1,scale,sparse_fast,10000,45135,42,6666,mean_map,1,8,2260400,50.61948439028712,136000
1,scale,sparse_fast,10000,45135,42,6666,max_maxdegree,2,0,2030500,12.499836814160739,217800
1,scale,sparse_fast,10000,45135,42,6666,mean_degree,2,1,1684800,11.215128922186135,136000
1,scale,sparse_fast,10000,45135,42,6666,mean_ring,2,2,1882900,50.61948439028712,136000
1,scale,sparse_fast,10000,45135,42,6666,degree4,2,3,4286500,0,652100
1,scale,sparse_fast,10000,45135,42,6666,std_binary,2,4,2963100,0,0
1,scale,sparse_fast,10000,45135,42,6666,mean_map,2,5,1839000,50.61948439028712,136000
1,scale,sparse_fast,10000,45135,42,6666,fourary,2,6,3291700,0,0
1,scale,sparse_fast,10000,45135,42,6666,caliber,2,7,2689900,0,194000
1,scale,sparse_fast,10000,45135,42,6666,binary,2,8,2808700,0,0
1,scale,sparse_fast,10000,45135,42,6666,binary,3,0,2792900,0,0
1,scale,sparse_fast,10000,45135,42,6666,caliber,3,1,2604400,0,194000
1,scale,sparse_fast,10000,45135,42,6666,fourary,3,2,3499700,0,0
1,scale,sparse_fast,10000,45135,42,6666,mean_map,3,3,1740600,50.61948439028712,136000
1,scale,sparse_fast,10000,45135,42,6666,std_binary,3,4,3632900,0,0
1,scale,sparse_fast,10000,45135,42,6666,degree4,3,5,4376800,0,652100
1,scale,sparse_fast,10000,45135,42,6666,mean_ring,3,6,1725600,50.61948439028712,136000
1,scale,sparse_fast,10000,45135,42,6666,mean_degree,3,7,2173700,11.215128922186135,136000
1,scale,sparse_fast,10000,45135,42,6666,max_maxdegree,3,8,1872000,12.499836814160739,217800
1,scale,sparse_fast,10000,45135,42,6666,std_binary,4,0,2975600,0,0
1,scale,sparse_fast,10000,45135,42,6666,fourary,4,1,2970200,0,0
1,scale,sparse_fast,10000,45135,42,6666,mean_degree,4,2,1663500,11.215128922186135,136000
1,scale,sparse_fast,10000,45135,42,6666,caliber,4,3,2601500,0,194000
1,scale,sparse_fast,10000,45135,42,6666,degree4,4,4,3858100,0,652100
1,scale,sparse_fast,10000,45135,42,6666,max_maxdegree,4,5,1612900,12.499836814160739,217800
1,scale,sparse_fast,10000,45135,42,6666,mean_map,4,6,1801700,50.61948439028712,136000
1,scale,sparse_fast,10000,45135,42,6666,mean_ring,4,7,1574600,50.61948439028712,136000
1,scale,sparse_fast,10000,45135,42,6666,binary,4,8,3131000,0,0
1,scale,sparse_fast,10000,45135,42,6666,binary,5,0,4053100,0,0
1,scale,sparse_fast,10000,45135,42,6666,mean_ring,5,1,1570600,50.61948439028712,136000
1,scale,sparse_fast,10000,45135,42,6666,mean_map,5,2,2387100,50.61948439028712,136000
1,scale,sparse_fast,10000,45135,42,6666,max_maxdegree,5,3,1672700,12.499836814160739,217800
1,scale,sparse_fast,10000,45135,42,6666,degree4,5,4,3716800,0,652100
1,scale,sparse_fast,10000,45135,42,6666,caliber,5,5,3034800,0,194000
1,scale,sparse_fast,10000,45135,42,6666,mean_degree,5,6,2064500,11.215128922186135,136000
1,scale,sparse_fast,10000,45135,42,6666,fourary,5,7,3545900,0,0
1,scale,sparse_fast,10000,45135,42,6666,std_binary,5,8,3340700,0,0
2,scale,sparse_fast,100000,450557,42,33333,mean_degree,0,0,27326100,11.225725203330558,1765000
2,scale,sparse_fast,100000,450557,42,33333,std_binary,0,1,49750100,0,0
2,scale,sparse_fast,100000,450557,42,33333,binary,0,2,57024600,0,0
2,scale,sparse_fast,100000,450557,42,33333,caliber,0,3,45437500,0,2244900
2,scale,sparse_fast,100000,450557,42,33333,mean_map,0,4,28596000,50.57829070437006,1765000
2,scale,sparse_fast,100000,450557,42,33333,degree4,0,5,66242200,0,7337500
2,scale,sparse_fast,100000,450557,42,33333,max_maxdegree,0,6,29951300,12.499991064546379,2965500
2,scale,sparse_fast,100000,450557,42,33333,mean_ring,0,7,26860200,50.57829070437006,1765000
2,scale,sparse_fast,100000,450557,42,33333,fourary,0,8,49519900,0,0
2,scale,sparse_fast,100000,450557,42,33333,fourary,1,0,54012800,0,0
2,scale,sparse_fast,100000,450557,42,33333,mean_ring,1,1,26407300,50.57829070437006,1765000
2,scale,sparse_fast,100000,450557,42,33333,max_maxdegree,1,2,25814200,12.499991064546379,2965500
2,scale,sparse_fast,100000,450557,42,33333,degree4,1,3,61217400,0,7337500
2,scale,sparse_fast,100000,450557,42,33333,mean_map,1,4,27564900,50.57829070437006,1765000
2,scale,sparse_fast,100000,450557,42,33333,caliber,1,5,46331300,0,2244900
2,scale,sparse_fast,100000,450557,42,33333,binary,1,6,52838200,0,0
2,scale,sparse_fast,100000,450557,42,33333,std_binary,1,7,50173000,0,0
2,scale,sparse_fast,100000,450557,42,33333,mean_degree,1,8,24978300,11.225725203330558,1765000
2,scale,sparse_fast,100000,450557,42,33333,std_binary,2,0,48488800,0,0
2,scale,sparse_fast,100000,450557,42,33333,mean_ring,2,1,28075800,50.57829070437006,1765000
2,scale,sparse_fast,100000,450557,42,33333,binary,2,2,50800800,0,0
2,scale,sparse_fast,100000,450557,42,33333,fourary,2,3,48621700,0,0
2,scale,sparse_fast,100000,450557,42,33333,max_maxdegree,2,4,26670600,12.499991064546379,2965500
2,scale,sparse_fast,100000,450557,42,33333,mean_degree,2,5,26034100,11.225725203330558,1765000
2,scale,sparse_fast,100000,450557,42,33333,caliber,2,6,45799800,0,2244900
2,scale,sparse_fast,100000,450557,42,33333,degree4,2,7,60673300,0,7337500
2,scale,sparse_fast,100000,450557,42,33333,mean_map,2,8,28132900,50.57829070437006,1765000
2,scale,sparse_fast,100000,450557,42,33333,mean_map,3,0,30085100,50.57829070437006,1765000
2,scale,sparse_fast,100000,450557,42,33333,degree4,3,1,59940100,0,7337500
2,scale,sparse_fast,100000,450557,42,33333,caliber,3,2,44524600,0,2244900
2,scale,sparse_fast,100000,450557,42,33333,mean_degree,3,3,24757100,11.225725203330558,1765000
2,scale,sparse_fast,100000,450557,42,33333,max_maxdegree,3,4,27834800,12.499991064546379,2965500
2,scale,sparse_fast,100000,450557,42,33333,fourary,3,5,50574900,0,0
2,scale,sparse_fast,100000,450557,42,33333,binary,3,6,52549500,0,0
2,scale,sparse_fast,100000,450557,42,33333,mean_ring,3,7,26953100,50.57829070437006,1765000
2,scale,sparse_fast,100000,450557,42,33333,std_binary,3,8,50278600,0,0
2,scale,sparse_fast,100000,450557,42,33333,std_binary,4,0,47357900,0,0
2,scale,sparse_fast,100000,450557,42,33333,fourary,4,1,50865800,0,0
2,scale,sparse_fast,100000,450557,42,33333,caliber,4,2,49330500,0,2244900
2,scale,sparse_fast,100000,450557,42,33333,mean_ring,4,3,27404400,50.57829070437006,1765000
2,scale,sparse_fast,100000,450557,42,33333,mean_degree,4,4,28381400,11.225725203330558,1765000
2,scale,sparse_fast,100000,450557,42,33333,binary,4,5,50679500,0,0
2,scale,sparse_fast,100000,450557,42,33333,degree4,4,6,65038700,0,7337500
2,scale,sparse_fast,100000,450557,42,33333,max_maxdegree,4,7,29876500,12.499991064546379,2965500
2,scale,sparse_fast,100000,450557,42,33333,mean_map,4,8,27505600,50.57829070437006,1765000
2,scale,sparse_fast,100000,450557,42,33333,mean_map,5,0,28417900,50.57829070437006,1765000
2,scale,sparse_fast,100000,450557,42,33333,max_maxdegree,5,1,27750800,12.499991064546379,2965500
2,scale,sparse_fast,100000,450557,42,33333,degree4,5,2,64991600,0,7337500
2,scale,sparse_fast,100000,450557,42,33333,binary,5,3,54510300,0,0
2,scale,sparse_fast,100000,450557,42,33333,mean_degree,5,4,27971900,11.225725203330558,1765000
2,scale,sparse_fast,100000,450557,42,33333,mean_ring,5,5,31097800,50.57829070437006,1765000
2,scale,sparse_fast,100000,450557,42,33333,caliber,5,6,48312800,0,2244900
2,scale,sparse_fast,100000,450557,42,33333,fourary,5,7,53166700,0,0
2,scale,sparse_fast,100000,450557,42,33333,std_binary,5,8,54676600,0,0
2,scale,sparse_fast,100000,450557,42,66666,mean_degree,0,0,30369600,11.225725203330558,1765000
2,scale,sparse_fast,100000,450557,42,66666,max_maxdegree,0,1,30061200,12.499991064546379,2965500
2,scale,sparse_fast,100000,450557,42,66666,degree4,0,2,65253400,0,7337500
2,scale,sparse_fast,100000,450557,42,66666,fourary,0,3,51844200,0,0
2,scale,sparse_fast,100000,450557,42,66666,mean_ring,0,4,30072800,50.57829070437006,1765000
2,scale,sparse_fast,100000,450557,42,66666,mean_map,0,5,31236300,50.57829070437006,1765000
2,scale,sparse_fast,100000,450557,42,66666,binary,0,6,51382900,0,0
2,scale,sparse_fast,100000,450557,42,66666,std_binary,0,7,51487100,0,0
2,scale,sparse_fast,100000,450557,42,66666,caliber,0,8,47393800,0,2244900
2,scale,sparse_fast,100000,450557,42,66666,caliber,1,0,45968100,0,2244900
2,scale,sparse_fast,100000,450557,42,66666,std_binary,1,1,52337600,0,0
2,scale,sparse_fast,100000,450557,42,66666,binary,1,2,51922700,0,0
2,scale,sparse_fast,100000,450557,42,66666,mean_map,1,3,28366400,50.57829070437006,1765000
2,scale,sparse_fast,100000,450557,42,66666,mean_ring,1,4,27465300,50.57829070437006,1765000
2,scale,sparse_fast,100000,450557,42,66666,fourary,1,5,55010900,0,0
