key,panel,family,n,seed,source,round,binary,degree4,ratio,margin_ms
core:11,core,dense,5000,42,3333,2,8935900.0,8572800.0,1.0423548898842852,0.3631
core:11,core,dense,5000,42,3333,3,9071000.0,9030400.0,1.0044959248759744,0.0406
core:11,core,dense,5000,42,3333,4,8927700.0,11321000.0,0.7885964137443688,-2.3933
core:11,core,dense,5000,42,3333,5,10136800.0,9389400.0,1.0796004004515731,0.7474
core:11,core,dense,5000,42,3333,6,8585300.0,8524500.0,1.0071323831309755,0.0608
core:11,core,dense,5000,42,3333,7,10229500.0,9137600.0,1.1194952722815619,1.0919
core:11,core,dense,5000,42,3333,8,8335700.0,8647000.0,0.9639990748236382,-0.3113
core:11,core,dense,5000,42,3333,9,8639700.0,8818900.0,0.9796800054428557,-0.1792
core:11,core,dense,5000,42,3333,10,8645900.0,9730400.0,0.888545177998849,-1.0845
core:11,core,dense,5000,42,3333,11,9781900.0,8857100.0,1.1044134084519763,0.9248
core:12,core,grid,1000,42,333,0,128600.0,169700.0,0.7578078962875663,-0.0411
core:12,core,grid,1000,42,333,1,147800.0,338700.0,0.43637437260112194,-0.1909
core:12,core,grid,1000,42,333,2,128900.0,168700.0,0.7640782454060462,-0.0398
core:12,core,grid,1000,42,333,3,127000.0,178600.0,0.7110862262038073,-0.0516
core:12,core,grid,1000,42,333,4,128000.0,272700.0,0.4693802713604694,-0.1447
core:12,core,grid,1000,42,333,5,128400.0,171500.0,0.7486880466472303,-0.0431
core:12,core,grid,1000,42,333,6,128500.0,164700.0,0.7802064359441409,-0.0362
core:12,core,grid,1000,42,333,7,127600.0,176500.0,0.7229461756373937,-0.0489
core:12,core,grid,1000,42,333,8,130800.0,172200.0,0.759581881533101,-0.0414
core:12,core,grid,1000,42,333,9,120000.0,154200.0,0.7782101167315175,-0.0342
core:12,core,grid,1000,42,333,10,122900.0,164800.0,0.745752427184466,-0.0419
core:12,core,grid,1000,42,333,11,124500.0,170200.0,0.7314923619271445,-0.0457
core:12,core,grid,1000,42,666,0,120900.0,227700.0,0.530961791831357,-0.1068
core:12,core,grid,1000,42,666,1,125300.0,191000.0,0.6560209424083769,-0.0657
core:12,core,grid,1000,42,666,2,138600.0,170300.0,0.8138578978273635,-0.0317
core:12,core,grid,1000,42,666,3,127500.0,175700.0,0.7256687535571997,-0.0482
core:12,core,grid,1000,42,666,4,139500.0,228900.0,0.6094364351245085,-0.0894
core:12,core,grid,1000,42,666,5,124900.0,156000.0,0.8006410256410257,-0.0311
core:12,core,grid,1000,42,666,6,128400.0,171800.0,0.7473806752037253,-0.0434
core:12,core,grid,1000,42,666,7,124000.0,161000.0,0.7701863354037267,-0.037
core:12,core,grid,1000,42,666,8,127100.0,190300.0,0.6678928008407777,-0.0632
core:12,core,grid,1000,42,666,9,120000.0,157900.0,0.759974667511083,-0.0379
core:12,core,grid,1000,42,666,10,122400.0,163600.0,0.7481662591687042,-0.0412
core:12,core,grid,1000,42,666,11,122300.0,155400.0,0.787001287001287,-0.0331
core:13,core,grid,2000,42,666,0,297200.0,338100.0,0.8790298728186927,-0.0409
core:13,core,grid,2000,42,666,1,258600.0,316900.0,0.816030293467971,-0.0583
core:13,core,grid,2000,42,666,2,271300.0,354000.0,0.7663841807909605,-0.0827
core:13,core,grid,2000,42,666,3,412000.0,325100.0,1.2673023685019993,0.0869
core:13,core,grid,2000,42,666,4,259400.0,335400.0,0.7734048896839595,-0.076
core:13,core,grid,2000,42,666,5,290400.0,354800.0,0.818489289740699,-0.0644
core:13,core,grid,2000,42,666,6,257900.0,461000.0,0.5594360086767896,-0.2031
core:13,core,grid,2000,42,666,7,264100.0,422500.0,0.6250887573964498,-0.1584
core:13,core,grid,2000,42,666,8,257900.0,390600.0,0.6602662570404506,-0.1327
core:13,core,grid,2000,42,666,9,264900.0,345800.0,0.7660497397339503,-0.0809
core:13,core,grid,2000,42,666,10,274200.0,357500.0,0.766993006993007,-0.0833
core:13,core,grid,2000,42,666,11,266400.0,748400.0,0.3559593800106895,-0.482
core:13,core,grid,2000,42,1333,0,276400.0,333700.0,0.8282888822295476,-0.0573
core:13,core,grid,2000,42,1333,1,255200.0,333400.0,0.7654469106178764,-0.0782
core:13,core,grid,2000,42,1333,2,272500.0,723600.0,0.37658927584300717,-0.4511
core:13,core,grid,2000,42,1333,3,295200.0,336400.0,0.8775267538644471,-0.0412
core:13,core,grid,2000,42,1333,4,253300.0,347800.0,0.7282921219091432,-0.0945
core:13,core,grid,2000,42,1333,5,276900.0,390800.0,0.7085465711361311,-0.1139
core:13,core,grid,2000,42,1333,6,263700.0,348200.0,0.757323377369328,-0.0845
core:13,core,grid,2000,42,1333,7,257600.0,329500.0,0.7817905918057663,-0.0719
core:13,core,grid,2000,42,1333,8,266600.0,344700.0,0.7734261676820423,-0.0781
core:13,core,grid,2000,42,1333,9,305700.0,494200.0,0.6185754755159855,-0.1885
core:13,core,grid,2000,42,1333,10,263900.0,351600.0,0.7505688282138794,-0.0877
core:13,core,grid,2000,42,1333,11,261000.0,338000.0,0.772189349112426,-0.077
core:14,core,grid,5000,42,1666,0,694100.0,925300.0,0.7501350913217335,-0.2312
core:14,core,grid,5000,42,1666,1,736500.0,1121300.0,0.6568268973512886,-0.3848
core:14,core,grid,5000,42,1666,2,851100.0,931600.0,0.9135895234006011,-0.0805
core:14,core,grid,5000,42,1666,3,756100.0,960800.0,0.7869483763530392,-0.2047
core:14,core,grid,5000,42,1666,4,795800.0,939700.0,0.8468660210705544,-0.1439
core:14,core,grid,5000,42,1666,5,684800.0,1071400.0,0.6391637110322942,-0.3866
core:14,core,grid,5000,42,1666,6,702200.0,1081600.0,0.6492233727810651,-0.3794
core:14,core,grid,5000,42,1666,7,679200.0,916500.0,0.7410801963993453,-0.2373
core:14,core,grid,5000,42,1666,8,750000.0,977900.0,0.7669495858472236,-0.2279
core:14,core,grid,5000,42,1666,9,701900.0,953700.0,0.7359756736919366,-0.2518
core:14,core,grid,5000,42,1666,10,694000.0,921600.0,0.7530381944444444,-0.2276
core:14,core,grid,5000,42,1666,11,708400.0,889700.0,0.7962234461054288,-0.1813
core:14,core,grid,5000,42,3333,0,696700.0,923100.0,0.7547394648467122,-0.2264
core:14,core,grid,5000,42,3333,1,698300.0,913000.0,0.764841182913472,-0.2147
core:14,core,grid,5000,42,3333,2,721300.0,1098900.0,0.6563836563836564,-0.3776
core:14,core,grid,5000,42,3333,3,694900.0,925700.0,0.7506751647401966,-0.2308
core:14,core,grid,5000,42,3333,4,709400.0,919500.0,0.7715062533985861,-0.2101
core:14,core,grid,5000,42,3333,5,914900.0,945600.0,0.9675338409475466,-0.0307
core:14,core,grid,5000,42,3333,6,710500.0,932800.0,0.7616852487135506,-0.2223
core:14,core,grid,5000,42,3333,7,683800.0,938600.0,0.7285318559556787,-0.2548
core:14,core,grid,5000,42,3333,8,753500.0,934700.0,0.8061410078099925,-0.1812
core:14,core,grid,5000,42,3333,9,717300.0,942100.0,0.7613841418108481,-0.2248
core:14,core,grid,5000,42,3333,10,810600.0,901600.0,0.8990683229813664,-0.091
core:14,core,grid,5000,42,3333,11,725500.0,950500.0,0.7632824829037349,-0.225
core:15,core,grid,10000,42,3333,0,1606200.0,2055800.0,0.7813016830430976,-0.4496
core:15,core,grid,10000,42,3333,1,1512100.0,2024200.0,0.7470111649046537,-0.5121
core:15,core,grid,10000,42,3333,2,1657100.0,2247400.0,0.7373409272937617,-0.5903
core:15,core,grid,10000,42,3333,3,1576600.0,2013000.0,0.7832091405861897,-0.4364
core:15,core,grid,10000,42,3333,4,1506100.0,1948000.0,0.7731519507186858,-0.4419
core:15,core,grid,10000,42,3333,5,1637300.0,1930800.0,0.8479904702713901,-0.2935
core:15,core,grid,10000,42,3333,6,1681200.0,1974700.0,0.8513698283283537,-0.2935
core:15,core,grid,10000,42,3333,7,1878500.0,1933700.0,0.9714536898174484,-0.0552
core:15,core,grid,10000,42,3333,8,1508700.0,2154200.0,0.7003527991829913,-0.6455
core:15,core,grid,10000,42,3333,9,1501900.0,1940800.0,0.7738561417971971,-0.4389
core:15,core,grid,10000,42,3333,10,1443700.0,2095700.0,0.6888867681442955,-0.652
core:15,core,grid,10000,42,3333,11,1504400.0,2001400.0,0.7516738283201759,-0.497
core:15,core,grid,10000,42,6666,0,1449600.0,1972400.0,0.7349422023930238,-0.5228
core:15,core,grid,10000,42,6666,1,1442400.0,1889300.0,0.7634573651617002,-0.4469
core:15,core,grid,10000,42,6666,2,1524800.0,1873900.0,0.8137040397032926,-0.3491
core:15,core,grid,10000,42,6666,3,1867400.0,1859700.0,1.0041404527611981,0.0077
core:15,core,grid,10000,42,6666,4,1453500.0,2114600.0,0.6873640404804692,-0.6611
core:15,core,grid,10000,42,6666,5,1532700.0,1894200.0,0.8091542603737726,-0.3615
core:15,core,grid,10000,42,6666,6,1469100.0,1952100.0,0.7525741509143998,-0.483
core:15,core,grid,10000,42,6666,7,1446600.0,1896400.0,0.7628137523729172,-0.4498
core:15,core,grid,10000,42,6666,8,1539500.0,1872000.0,0.8223824786324786,-0.3325
core:15,core,grid,10000,42,6666,9,1450700.0,2094800.0,0.6925243459996181,-0.6441
