key,panel,family,n,seed,source,arm,median_margin_ms,margin_q25_ms,margin_q75_ms,median_ratio,positive_rounds,rounds
core:1,core,sparse,1000,42,333,binary,-0.006,-0.014249999999999999,0.036625000000000005,0.9740586694908817,5,12
core:1,core,sparse,1000,42,666,binary,-0.00995,-0.016274999999999998,-0.001724999999999999,0.9561361522108306,3,12
core:10,core,dense,2000,42,666,binary,0.5128,0.29169999999999996,0.703575,1.2649705046437207,11,12
core:10,core,dense,2000,42,1333,binary,0.5508,0.20800000000000002,0.9059999999999999,1.2616234874544712,12,12
core:11,core,dense,5000,42,1666,binary,1.76605,1.5404749999999998,1.941125,1.1922242117919237,12,12
core:11,core,dense,5000,42,3333,binary,2.0450999999999997,1.710575,2.4936499999999997,1.2328248964471396,12,12
core:12,core,grid,1000,42,333,binary,-0.0059,-0.01075,0.00315,0.9540480750581847,4,12
core:12,core,grid,1000,42,666,binary,-0.00745,-0.0101,-0.003425,0.9417665383910574,2,12
core:13,core,grid,2000,42,666,binary,-0.01295,-0.017225,-0.0076500000000000005,0.951844213906774,2,12
core:13,core,grid,2000,42,1333,binary,-0.0060999999999999995,-0.0169,0.05285,0.9766117241030062,5,12
core:14,core,grid,5000,42,1666,binary,-0.033049999999999996,-0.047775,-0.0121,0.9541985979864371,3,12
core:14,core,grid,5000,42,3333,binary,-0.0329,-0.0465,-0.0017000000000000001,0.9543462769058062,3,12
core:15,core,grid,10000,42,3333,binary,-0.0708,-0.110875,-0.008199999999999999,0.9531215872744642,3,12
core:15,core,grid,10000,42,6666,binary,-0.0316,-0.140575,0.07125000000000001,0.9782530205648539,5,12
core:16,core,roadlike,1000,42,333,binary,-0.00515,-0.008,-0.0009000000000000002,0.9608000858000858,3,12
core:16,core,roadlike,1000,42,666,binary,-0.0039,-0.0062,0.002975,0.9700114232061368,4,12
core:17,core,roadlike,2000,42,666,binary,-0.00575,-0.0149,0.010025,0.9794040108492373,4,12
core:17,core,roadlike,2000,42,1333,binary,-0.017,-0.034875,0.004999999999999999,0.9399264133651613,4,12
core:18,core,roadlike,5000,42,1666,binary,-0.045399999999999996,-0.10395,0.0232,0.9426958029851971,4,12
core:18,core,roadlike,5000,42,3333,binary,-0.07975,-0.13635,0.04155,0.9171339211889467,4,12
core:19,core,sparse,1000,1729,333,binary,-0.00515,-0.007825,0.019225,0.9717779131703472,4,12
core:19,core,sparse,1000,1729,666,binary,-0.025500000000000002,-0.0424,-0.011175,0.8740378937254156,1,12
core:2,core,sparse,2000,42,666,binary,-0.04955,-0.11624999999999999,0.0030499999999999998,0.9007345031954954,3,12
core:2,core,sparse,2000,42,1333,binary,-0.0137,-0.029249999999999998,-0.0013750000000000004,0.9688150166408771,3,12
core:20,core,sparse,2000,1729,666,binary,-0.0138,-0.025875,-0.0032250000000000004,0.9655261548725954,3,12
core:20,core,sparse,2000,1729,1333,binary,-0.01035,-0.031525,0.00695,0.9744256485234015,4,12
core:21,core,sparse,5000,1729,1666,binary,-0.0476,-0.0688,-0.0222,0.9561928223833442,2,12
core:21,core,sparse,5000,1729,3333,binary,-0.02225,-0.032299999999999995,0.0125,0.9793385393351919,5,12
core:22,core,sparse,10000,1729,3333,binary,-0.21660000000000001,-0.33914999999999995,-0.045925,0.9136262818511998,2,12
core:22,core,sparse,10000,1729,6666,binary,0.11795,-0.123625,0.294825,1.0474638639250267,7,12
core:23,core,clustered,1000,1729,333,binary,0.011300000000000001,0.00675,0.02215,1.0343540219542093,11,12
core:23,core,clustered,1000,1729,666,binary,0.0255,0.018875000000000003,0.032575,1.0810328986480748,12,12
