family,seed,source,rate,arm,null_seed,admitted,potential_work,pushes,pops,comparisons,scouts,scout_scans,scout_yield,field_ns
sparse,42,666,0.1,vertex_permutation,2,457,2012,1460,1460,24621,107,450,196,31715000
sparse,42,333,0.1,weight_permutation,2,457,2586,1498,1498,25328,99,545,252,31715000
sparse,42,666,0.1,weight_permutation,2,457,2586,1488,1488,25217,100,536,255,31715000
sparse,42,333,0.25,vertex_permutation,2,1142,5200,1546,1546,26636,236,1082,444,31715000
sparse,42,666,0.25,vertex_permutation,2,1142,5200,1545,1545,26599,230,1048,430,31715000
sparse,42,333,0.25,weight_permutation,2,1142,6452,1601,1601,27665,214,1201,530,31715000
sparse,42,666,0.25,weight_permutation,2,1142,6452,1549,1549,26792,220,1189,506,31715000
sparse,42,333,0.5,vertex_permutation,2,2285,10514,1576,1576,27281,384,1785,692,31715000
sparse,42,666,0.5,vertex_permutation,2,2285,10514,1586,1586,27583,370,1673,680,31715000
sparse,42,333,0.5,weight_permutation,2,2285,12464,1644,1644,28665,367,1942,775,31715000
sparse,42,666,0.5,weight_permutation,2,2285,12464,1601,1601,27900,382,2054,758,31715000
sparse,42,333,0.05,vertex_permutation,3,228,1038,1430,1430,23843,58,273,135,31715000
sparse,42,666,0.05,vertex_permutation,3,228,1038,1430,1430,23839,65,284,129,31715000
sparse,42,333,0.05,weight_permutation,3,228,1304,1425,1425,23581,50,298,101,31715000
sparse,42,666,0.05,weight_permutation,3,228,1304,1434,1434,23972,53,301,133,31715000
sparse,42,333,0.1,vertex_permutation,3,457,2084,1446,1446,24227,105,485,195,31715000
sparse,42,666,0.1,vertex_permutation,3,457,2084,1459,1459,24612,105,501,223,31715000
sparse,42,333,0.1,weight_permutation,3,457,2604,1451,1451,24343,97,542,193,31715000
sparse,42,666,0.1,weight_permutation,3,457,2604,1450,1450,24463,95,527,213,31715000
sparse,42,333,0.25,vertex_permutation,3,1142,5332,1528,1528,26308,231,1084,461,31715000
sparse,42,666,0.25,vertex_permutation,3,1142,5332,1517,1517,25955,230,1058,461,31715000
sparse,42,333,0.25,weight_permutation,3,1142,6505,1514,1514,25947,210,1163,454,31715000
sparse,42,666,0.25,weight_permutation,3,1142,6505,1525,1525,26233,207,1154,455,31715000
sparse,42,333,0.5,vertex_permutation,3,2285,10396,1587,1587,27496,377,1733,720,31715000
sparse,42,666,0.5,vertex_permutation,3,2285,10396,1572,1572,27132,390,1790,710,31715000
sparse,42,333,0.5,weight_permutation,3,2285,12583,1628,1628,28375,354,1929,805,31715000
sparse,42,666,0.5,weight_permutation,3,2285,12583,1611,1611,28010,355,1965,764,31715000
sparse,42,333,0.05,vertex_permutation,4,228,1028,1436,1436,23992,59,267,115,31715000
sparse,42,666,0.05,vertex_permutation,4,228,1028,1435,1435,23971,53,241,113,31715000
sparse,42,333,0.05,weight_permutation,4,228,1275,1422,1422,23714,55,325,133,31715000
sparse,42,666,0.05,weight_permutation,4,228,1275,1411,1411,23599,62,327,146,31715000
sparse,42,333,0.1,vertex_permutation,4,457,2043,1476,1476,24969,113,483,241,31715000
sparse,42,666,0.1,vertex_permutation,4,457,2043,1484,1484,25036,109,503,235,31715000
sparse,42,333,0.1,weight_permutation,4,457,2613,1513,1513,25807,106,616,290,31715000
sparse,42,666,0.1,weight_permutation,4,457,2613,1438,1438,24183,103,568,237,31715000
sparse,42,333,0.25,vertex_permutation,4,1142,5111,1550,1550,26720,226,1008,476,31715000
sparse,42,666,0.25,vertex_permutation,4,1142,5111,1528,1528,26187,215,1001,446,31715000
sparse,42,333,0.25,weight_permutation,4,1142,6427,1576,1576,27184,220,1228,550,31715000
sparse,42,666,0.25,weight_permutation,4,1142,6427,1540,1540,26382,221,1219,513,31715000
sparse,42,333,0.5,vertex_permutation,4,2285,10579,1627,1627,28447,372,1708,726,31715000
sparse,42,666,0.5,vertex_permutation,4,2285,10579,1619,1619,28177,385,1815,735,31715000
sparse,42,333,0.5,weight_permutation,4,2285,12509,1673,1673,29269,370,1963,804,31715000
